citekey	condition	study_type	uses_case_definition	case_definition	pem_required	time_threshold	functional_impairment_required	recruitment_frame	clinic_collider_risk	t001_admissible	notes
Zhu2023	long-COVID/PASC	mechanistic/basic	no	NA	NA	NA	NA	hospital/inpatient	NA	no	Acute COVID flow-cytometry ML; no post-acute follow-up; PAIS inferred
Bekaryssova2022	long-COVID/PASC	narrative-review	no	NA	NA	NA	NA	NA	NA	no	ReA narrative review; case reports only, no cohort, no validated def
Conde2026	post-dengue	systematic-review/MA	yes	self-report/symptom-based	unclear	other(≥1wk)	no	mixed	NA	no	SR/MA 9 studies; validated fatigue questionnaires; no primary cohort
Gandhi2023	long-COVID/PASC	narrative-review	no	NA	NA	NA	NA	NA	NA	no	Editorial Comment on VA cohort; no primary data
Hoel2026	ME/CFS	case-control	yes	CCC-2003	yes	not-stated	unclear	registry/biobank	medium	yes	Serum proteomics n=50; CCC; trial-biobank sourced patients
Klein2023	long-COVID/PASC	cross-sectional	yes	self-report/symptom-based	no	≥6mo	unclear	post-COVID-clinic	high	yes	Immune profiling AUC0.94; clinic/advocacy recruited, no standard def
Moldofsky2011	post-SARS	case-control	no	author-defined	unclear	≥6mo	yes	specialty-clinic	high	maybe	n=22 WSIB-referred severity-biased HCWs; PSG; no standard definition
Parotto2023	long-COVID/PASC	narrative-review	no	WHO-2021	NA	≥12wk/≥3mo	NA	hospital/inpatient	NA	no	Narrative review critical-illness PASC; cites WHO definition
Rebman2026	PTLDS	cohort-prospective	yes	author-defined	NA	not-stated	NA	specialty-clinic	medium	maybe	SLICE early-Lyme cohort (EM rash); analyzes acute, not PTLDS outcomes
Shah2025	long-COVID/PASC	cohort-prospective	yes	RECOVER-PASC-index	no	≥6mo	no	mixed	medium	yes	RECOVER n=12,276; symptom index; binary menopause variable
Sun2025	post-sepsis/PICS	case-control	yes	author-defined	NA	not-stated	NA	hospital/inpatient	medium	maybe	scRNA-seq n=16 elderly; PICS clinical criteria; +mouse validation
Wester2024	PTLDS	narrative-review	yes	IDSA-PTLDS	no	≥6mo	yes	NA	NA	no	Narrative review; cites IDSA PTLDS definition; no primary cohort
